id,duration,user_id,listened_at,song_id
1,125,68,2021-04-24 05:17:00,4618
2,151,640,2020-01-24 23:00:00,2385
3,279,538,2020-05-10 14:26:00,1383
4,337,920,2021-11-07 07:22:00,2496
5,363,696,2021-09-11 06:17:00,3606
6,355,649,2020-08-17 00:01:00,1848
7,166,291,2020-01-12 09:38:00,1729
8,306,618,2020-05-30 20:21:00,653
9,349,975,2021-03-03 11:11:00,759
10,361,24,2020-04-14 23:55:00,1280
11,90,415,2021-07-01 18:35:00,442
12,279,851,2021-08-20 14:36:00,4505
13,124,962,2021-06-02 23:32:00,4906
14,325,706,2021-08-20 18:18:00,3489
15,213,681,2020-10-17 00:43:00,3574
16,289,36,2021-11-07 09:15:00,4793
17,316,101,2020-02-26 00:34:00,4194
18,184,546,2020-08-05 22:14:00,3971
19,215,889,2020-04-28 07:01:00,4638
20,98,39,2021-02-14 15:53:00,1527
21,355,211,2020-06-24 02:33:00,191
22,290,742,2021-02-16 15:43:00,1874
23,144,791,2021-08-30 18:34:00,3016
24,376,592,2021-09-10 13:04:00,258
25,37,750,2020-10-10 09:00:00,155
26,294,172,2021-05-08 00:02:00,2992
27,300,838,2021-10-14 19:55:00,4094
28,278,442,2021-01-28 15:00:00,3903
29,134,59,2020-08-29 13:23:00,2276
30,292,410,2020-10-06 12:11:00,3583
31,253,534,2021-07-04 05:13:00,4170
32,357,365,2021-06-22 15:59:00,2413
33,300,367,2020-04-11 21:48:00,24
34,194,344,2021-07-29 14:57:00,1742
35,112,750,2021-05-16 22:34:00,3161
36,324,296,2021-06-11 07:40:00,3606
37,163,341,2020-02-27 02:37:00,3372
38,240,606,2020-12-30 15:59:00,2092
39,342,756,2021-06-26 19:47:00,1061
40,121,523,2020-09-08 20:19:00,3352
41,366,629,2020-02-09 02:24:00,461
42,156,265,2020-03-12 03:10:00,2118
43,220,524,2020-11-14 06:40:00,1607
44,188,666,2020-06-18 01:00:00,72
45,360,38,2021-09-02 16:54:00,4924
46,364,131,2020-02-25 08:30:00,4273
47,39,382,2020-09-05 00:17:00,707
48,136,225,2021-03-16 16:05:00,1929
49,116,143,2021-07-13 23:20:00,4980
50,96,431,2021-03-23 00:04:00,2799
51,91,389,2021-03-09 17:00:00,1178
52,175,54,2020-10-15 20:53:00,154
53,182,24,2021-07-17 06:51:00,30
54,136,395,2020-08-25 15:50:00,3312
55,177,633,2020-01-22 13:44:00,3827
56,215,119,2021-04-06 18:06:00,4787
