playlist_id,song_id
1934,3009
1237,3108
1622,4000
901,3482
887,2232
694,67
181,2081
1189,1548
1120,1269
1465,1510
1027,4692
1513,849
1229,1875
395,602
1778,4202
298,4781
695,1413
1190,2583
1688,2851
1929,2289
909,96
1366,4221
1426,234
1802,4785
140,4678
1268,4216
1327,3549
750,22
1235,2809
1363,1236
1653,2523
10,4935
897,2236
953,418
1524,553
71,2588
1143,3891
1655,36
907,4066
1461,531
127,4784
260,2172
228,3090
445,4801
1622,918
778,3260
1239,3236
1413,2068
1981,1020
240,2024
380,2161
332,1341
1785,2405
926,4932
1593,772
417,2874
165,717
850,4519
1220,1081
239,4160
279,2557
70,1458
1799,3602
19,3838
238,81
911,2429
1397,3996
1264,2696
1366,4512
1440,2667
1359,2182
1339,2760
70,3880
198,3763
1017,4655
1286,223
844,1015
194,1019
1497,3975
132,2297
375,226
1094,3126
767,4061
1721,4583
746,3128
1469,3948
371,4412
1464,1587
1893,4496
230,1516
1166,769
1647,1036
1107,24
755,2174
1543,4427
1462,4201
1490,4002
954,3293
1597,2081
1900,1185
1352,2113
924,3148
1237,3118
183,3948
355,2498
1775,3032
970,950
565,4530
1244,626
1619,405
1708,3870
995,143
28,3721
814,2807
1201,288
1403,4168
451,4503
487,1819
1691,4650
1273,3293
207,779
1268,1941
679,1068
214,990
1108,289
27,3895
1059,4877
1526,3108
815,3671
820,4634
69,4554
194,1175
297,1160
1586,1806
557,3538
1300,3566
1656,1689
967,3028
292,644
1736,4347
603,4975
326,4201
1176,2620
676,1623
1157,2517
1236,555
1015,1844
1940,533
181,3493
768,634
361,978
424,4600
610,3283
1895,2181
124,957
178,1324
330,219
963,3462
1777,3057
1250,1358
163,4483
1856,3649
1957,2719
813,3373
493,4210
1830,3658
878,2871
471,60
1381,927
341,3838
155,4851
760,4049
1217,295
585,1404
1283,616
1851,1584
1254,2128
100,1051
226,3856
1054,3508
735,4350
1246,347
1040,3510
1821,3225
1990,4440
718,2106
458,220
216,4938
612,1201
536,4582
1799,974
433,705
959,4945
1637,4049
558,4736
240,2654
816,3562
102,4910
665,1761
1067,2930
1591,2452
1442,1248
321,771
1692,2596
809,4357
413,4867
928,3428
1989,2374
34,3047
1851,4324
750,2648
445,3375
180,3365
1855,8
1690,4710
717,3435
1292,1069
1558,522
969,2280
312,1963
6,2316
548,749
638,892
458,3373
1765,600
1723,2714
571,2390
1504,4203
68,3801
1844,4255
120,3896
964,3426
1357,3621
848,2507
875,2681
947,4323
1010,2777
346,4703
1889,3249
1269,2647
1604,102
1690,3396
1865,1380
1321,4039
1739,1151
1669,1418
1973,2630
934,260
628,277
1629,810
614,4692
1384,4561
1372,2182
1461,3327
1496,2935
1976,2121
275,3359
630,3743
1089,4267
69,4343
727,354
309,3792
147,2160
578,2764
508,4557
176,4004
578,3277
201,3855
1042,461
1360,546
1831,4806
1151,4140
713,1359
1516,3427
1075,3462
1663,3557
1175,1286
1185,4171
188,1550
230,4564
955,5
1634,1211
1946,3550
1937,3371
1205,2534
846,949
1741,4763
1494,4165
427,232
1840,3535
1106,1647
1428,2377
478,793
1955,1614
1057,2791
750,4863
593,1696
867,87
1484,2028
514,2447
1442,1424
332,81
1626,2762
1662,2141
1440,2922
533,72
5,1081
284,2555
1879,1682
304,720
864,1627
1221,2508
1278,3355
867,2253
1786,3024
838,4193
1619,265
1772,269
168,941
6,264
142,3698
375,3064
1149,3803
1347,3817
395,1633
1191,4103
1705,3661
1048,399
1707,184
109,2664
210,2853
607,3648
1226,4189
1434,2409
797,111
2,4404
1822,4513
743,4173
766,607
1135,3340
1610,3424
76,1070
212,1350
1977,3454
1654,2887
1257,441
187,4884
1299,580
310,1324
966,1310
888,1823
1687,4735
211,3540
351,2542
1825,1769
322,526
207,1638
1931,2199
1114,1861
658,4987
65,1202
416,2773
1023,1569
1924,3028
1622,9
1316,203
477,2311
1465,3057
370,4661
673,4623
743,3636
654,3532
432,3525
239,1615
293,662
237,2026
645,4644
1842,94
701,865
1750,4262
325,1064
1893,1088
422,3768
430,3045
354,2495
1679,4371
1520,2173
293,521
795,3901
624,1130
1281,2773
1437,3649
381,2645
1224,3352
225,614
903,4268
1821,6
671,4035
1318,2969
520,539
607,3702
677,2520
443,1632
719,3797
182,1279
1524,556
442,2914
608,4701
1306,4343
944,317
1137,754
267,3718
1559,3147
930,2288
801,4232
465,2275
993,459
1410,2940
508,3830
113,2987
1341,1110
132,2985
1548,4165
925,1386
1770,2018
1775,4382
875,4537
103,1734
682,1578
979,741
1209,2733
1970,2601
66,4809
135,1855
1149,2479
57,2964
1326,3292
790,1171
907,2625
1953,2250
694,1828
1684,3794
1797,2461
1860,4316
1038,2975
899,3622
626,617
466,4347
1024,1986
1466,3350
27,2797
772,715
1408,3126
1987,2486
320,3283
219,518
1756,3273
1878,1982
1194,4972
1437,3115
1616,707
419,2296
1811,781
1140,4284
606,271
1999,3653
69,4722
1311,4391
683,3837
1631,4858
969,2467
461,2464
1003,3208
149,2709
1902,2711
1759,4019
193,4955
1257,1530
1741,180
162,2696
1981,611
1572,4421
976,3873
1482,4286
742,961
553,2776
162,1313
153,3238
1465,1282
321,4332
1100,1418
380,741
763,3557
790,4556
1724,3557
1462,2782
1913,3087
1814,471
701,2002
1150,4925
752,2719
1730,3317
941,4347
1224,1190
1249,3576
581,1230
1216,1145
1546,683
1987,4375
1803,3609
1270,1510
412,3740
1797,3683
1548,3934
556,83
621,3969
349,4973
1114,876
989,222
1821,1565
1486,648
1316,3134
1315,1190
369,2179
1288,1795
1296,2254
1835,3244
69,2929
144,2217
56,155
1577,1116
1101,1180
520,4101
1334,2731
90,4096
376,2825
1925,3549
777,4975
998,1053
1218,1419
1607,3939
1822,4317
337,4879
506,1176
108,2083
607,4922
511,959
321,2660
1500,1783
286,3294
815,700
1375,1624
856,4544
1951,654
1980,4237
1269,4353
587,2551
362,2418
1360,3675
1673,1293
222,1554
716,4770
438,3124
1007,4422
573,1082
448,283
2000,3730
1889,1081
1286,4476
301,4978
1601,591
973,4759
549,4923
995,3779
1004,1529
1882,4374
1258,2455
1225,84
1425,2193
614,1927
1134,4009
1945,745
562,151
508,4645
891,2884
839,2249
1903,4605
799,362
1696,1216
883,4626
816,4259
1235,2327
499,4308
1681,1159
1213,4940
1209,4604
1337,945
454,4851
985,4804
249,3829
1697,1410
659,2938
783,3759
675,4555
689,4920
230,1038
1700,3227
224,3972
1760,616
1768,3796
54,4
1060,3224
1589,4755
700,4286
482,3753
586,3676
1324,1613
289,4174
1452,4530
311,4722
458,212
1580,2241
51,4323
1533,340
1123,3212
342,679
563,2461
983,4282
1671,4419
1749,4935
1409,3287
1677,4685
457,2557
1328,4171
1919,2388
1650,3633
751,2367
852,2287
1711,2558
1583,795
266,2502
26,3782
1074,1658
943,3706
1964,725
641,978
365,897
1855,4338
1169,76
145,4444
167,3603
